(76,45)
(14,54)
(37,22)
(4,58)
(36,31)
(57,58)
(44,78)
(15,31)
(24,21)
(57,62)
(8,7)
(35,63)
(54,50)
(23,56)
(42,31)
(84,34)
(37,2)
(9,64)
(24,67)
(23,32)
(37,49)
(39,56)
(6,14)
(56,79)
(75,90)
(43,67)
(46,74)
(14,22)
(20,99)
(82,35)
(84,101)
(47,34)
(99,87)
(20,59)
(47,16)
(16,41)
(30,34)
(30,64)
(54,47)
(52,41)
(63,51)
(53,5)
(50,63)
(52,16)
(69,72)
(22,51)
(9,27)
(98,31)
(17,92)
(37,43)
(65,81)
(33,71)
(37,45)
(56,98)
(73,40)
(40,76)
(53,65)
(24,23)
(1,53)
(90,59)
(24,83)
(66,39)
(12,59)
(58,22)
(53,98)
(61,50)
(82,53)
(40,10)
(25,31)
(29,95)
(71,39)
(94,61)
(92,13)
(86,67)
(30,22)
(12,40)
(34,82)
(60,100)
(14,75)
(80,81)
(35,91)
(75,39)
(58,96)
(45,46)
(45,47)
(29,58)
(91,19)
(17,63)
(84,21)
(48,86)
(33,47)
(41,58)
(48,24)
(68,59)
(94,40)
(41,47)
(37,99)
(87,6)
(43,61)
(32,79)
